episode: 38, gamma:18, best reward so far: -21.3120, best reward of the current generation: -32.2384, sigma: 0.050, time_generation: 27.70, rollout_time: 27.61, eval_time: 0.08

episode: 39, gamma:18, best reward so far: -21.3120, best reward of the current generation: -26.3613, sigma: 0.050, time_generation: 29.72, rollout_time: 29.61, eval_time: 0.11
episode: 39, gamma:1, current testing reward: -138.0650, current testing VM_cost: 10.6560, current testing SLA_penalty: 127.4090, current testing_time: 0.81

episode: 40, gamma:18, best reward so far: -21.1996, best reward of the current generation: -21.1996, sigma: 0.050, time_generation: 31.96, rollout_time: 31.86, eval_time: 0.10

episode: 41, gamma:18, best reward so far: -21.1996, best reward of the current generation: -43.0000, sigma: 0.050, time_generation: 30.41, rollout_time: 30.25, eval_time: 0.16

episode: 42, gamma:18, best reward so far: -21.1996, best reward of the current generation: -22.4173, sigma: 0.050, time_generation: 27.12, rollout_time: 27.05, eval_time: 0.06

episode: 43, gamma:18, best reward so far: -21.1996, best reward of the current generation: -24.9299, sigma: 0.050, time_generation: 29.34, rollout_time: 29.27, eval_time: 0.07

episode: 44, gamma:18, best reward so far: -21.1996, best reward of the current generation: -24.7476, sigma: 0.050, time_generation: 31.98, rollout_time: 31.90, eval_time: 0.08

episode: 45, gamma:18, best reward so far: -21.1996, best reward of the current generation: -39.5004, sigma: 0.050, time_generation: 31.00, rollout_time: 30.92, eval_time: 0.08

episode: 46, gamma:18, best reward so far: -21.1996, best reward of the current generation: -22.9440, sigma: 0.050, time_generation: 26.37, rollout_time: 26.30, eval_time: 0.07

episode: 47, gamma:18, best reward so far: -21.1996, best reward of the current generation: -30.1440, sigma: 0.050, time_generation: 29.06, rollout_time: 28.97, eval_time: 0.08

episode: 48, gamma:18, best reward so far: -17.7054, best reward of the current generation: -17.7054, sigma: 0.050, time_generation: 26.71, rollout_time: 26.63, eval_time: 0.07

episode: 49, gamma:18, best reward so far: -17.7054, best reward of the current generation: -26.4960, sigma: 0.050, time_generation: 28.78, rollout_time: 28.70, eval_time: 0.08

episode: 50, gamma:18, best reward so far: -17.7054, best reward of the current generation: -30.6012, sigma: 0.050, time_generation: 25.72, rollout_time: 25.65, eval_time: 0.07

episode: 51, gamma:18, best reward so far: -17.7054, best reward of the current generation: -22.2720, sigma: 0.050, time_generation: 28.38, rollout_time: 28.28, eval_time: 0.09

episode: 52, gamma:18, best reward so far: -17.7054, best reward of the current generation: -21.4080, sigma: 0.050, time_generation: 27.57, rollout_time: 27.50, eval_time: 0.07

episode: 53, gamma:18, best reward so far: -17.7054, best reward of the current generation: -27.7440, sigma: 0.050, time_generation: 29.18, rollout_time: 29.07, eval_time: 0.11

episode: 54, gamma:18, best reward so far: -17.7054, best reward of the current generation: -18.1440, sigma: 0.050, time_generation: 29.02, rollout_time: 28.91, eval_time: 0.10

episode: 55, gamma:18, best reward so far: -17.7054, best reward of the current generation: -18.8160, sigma: 0.050, time_generation: 27.90, rollout_time: 27.13, eval_time: 0.76

episode: 56, gamma:18, best reward so far: -17.7054, best reward of the current generation: -25.5360, sigma: 0.050, time_generation: 37.58, rollout_time: 37.25, eval_time: 0.33

episode: 57, gamma:18, best reward so far: -17.7054, best reward of the current generation: -25.8240, sigma: 0.050, time_generation: 44.65, rollout_time: 44.53, eval_time: 0.10

